TST_be2011390ab3b8 | kedili kazak | kedi köpek için mavi beyaz çizgili kazak [köpek kıyafeti] marka:lady fify renk:mavi
TST_cf10e1a28b2eda | orbus akü | 200ah 12.8v (bluetooth) lifepo4 - abs kasa [akü] marka:megacell
TST_748ae559fecde0 | ekran koruyucu | iphone 14 uyumlu 9h hd+ cam ekran koruyucu [ekran koruyucu film] marka:evax
TST_b41dddbffb1164 | bebek anakucağı | movibaby hareket sensörlü otomatik ana kucağı-pink [ana kucağı] marka:livenzi renk:pembe
TST_690b975f898e7c | scrubs | cerrahi doktor hemşire scrubs indigo mavisi forma tek üst [iş kıyafeti] marka:simirna üniforma renk:lacivert
TST_14bd425827c1b4 | çocuk şampuan | hyaluronik asit içerikli şampuan - - 250 ml [şampuan] marka:isana professional unisex
TST_7e9e83dd89a79f | kupa bardak fincan askısı | sanki herkes hayatını yoluna sokmuşta baskılı mor kulplu c fincan [kupa] marka:kırtasiye ofisi renk:mor materyal:seramik
TST_593a820d851263 | araba hoparlör | p-696 1000 watt oto hoparlör oval 6x9 araba hoparlör 2 adet oto oval hoparlör (16-24cm) 2  [oto hoparlör] marka:painner
TST_21e1f18093861b | kremi lip balm | repair&care derinlemesine nemlendirici vücut losyonu 400ml, gergin cilt rahatlatır, kuru c [vücut kremi] marka:nivea
TST_4e714c6981f533 | divan yatak | duplex ortopedik çift taraflı pocket yaylı yatak çift kişilik [yatak] marka:sleeptown
TST_6104cf197e115f | plaj oyuncakları | -plaj - bahçe kürek set 2 li tırmıklı kürek - plaj oyuncakları [plaj oyuncakları] marka:quut renk:turuncu
TST_0463619ff1124d | tasarım kahve fincanı | my little pony - rainbow dash baskılı tasarım kupa bardak çay kahve fincanı a [kupa] marka:westartic renk:mavi materyal:seramik
TST_1e809273909710 | servis sehpası | tekerlekli çekmeceli ahşap koltuk kanepe önü notebook ve servis sehpası [yan sehpa] marka:ka tasarım renk:bej materyal:ahşap
TST_e537fe6694c0a7 | ceket mont | düz kapama kaşe kaban deve tüyü [kaban] marka:manuka kadın renk:kahverengi materyal:kaşe
TST_0d171168a5fe43 | dolap askısı | ahşap askı kıyafet ve elbise askısı 12 adet [askı] marka:gökçe ahşap renk:kahverengi materyal:ahşap
TST_af055202955183 | 2 kişilik kahve fincanı | kahve fincanı sunum tabaklı lemón 2 kişilik 4 parça 100 cc [kahve fincanı] marka:ganita home renk:sarı materyal:seramik
TST_1c36a5488408d9 | buharlı dikey ütü | inmest infinity buharlı kırışık giderici dikey ütü 1500w portatif [fotokopi & baskı kağıtları] marka:nrcn
TST_98d4357aa92402 | metal raf | duvara monte metal kupa askılığı raflı – mutfak organizeri bardak ve tabak düzenleyici raf [askı] marka:keyfisepet en keyifli sepet renk:siyah materyal:metal
TST_f44805d48f818a | s harfli kolye | gold renk minimal kalp figür kadın kolye - tj-bko6850 [çelik kolye] marka:skygo kadın renk:çok renkli materyal:belirtilmemiş
TST_cbdabd4255c484 | topuklu spor ayakkabı | garcia garantili unisex ortopedik günlük bağcıklı yürüyüş koşu sneaker spor ayakkabı [sneaker] marka:muggo unisex renk:beyaz materyal:suni deri
TST_1a6f91fc73a19c | multivitamin | tabvıtamıns berısta lıpozomal 60 tb [vitamin] marka:tab ilaç
TST_258f03d7df90f4 | ekran tv 50 inç 127 | 55pus8349/62 55'' 139 ekran ambilight ultra hd 4k smart led tv [televizyon] marka:philips renk:beyaz
TST_f28eca7dbd9357 | fiesta saat | kadranı pembe kordonu gümüş renk garantili kadın kol saati [saat] marka:casio kadın renk:gri
TST_58a02954f48b66 | nissan | fiat füme halı kırmızı biyeli paspas takımı (universal) [oto paspas] marka:ototuningmerkezi
TST_240794d9648542 | şifon abaya | janjan abiye [tesettür abiye] marka:merve tesettür kadın renk:krem materyal:tül
TST_94643df17de60e | 8. sınıf | more and more 6 word power ve 6. sınıf şampiyon 3'lü deneme sınavı seti [ders ve yardımcı kitaplar] marka:kurmay elt yayınları
TST_d66f248f4e7305 | salon çamı | armoni 3'lü c zigon gümüş kaplama şeffaf cam [zigon] marka:nies aksesuar renk:gümüş materyal:metal
TST_1fcc7659ac4820 | decoor mall dekoratif obje biblo | kızlar ikili saksı [dekoratif obje ve biblo] marka:tasarım renk:pembe materyal:taş tozu
TST_dd436d67f49179 | universal kalem | universal telefon tablet navigasyon 2in1 stylus pen dokunmatik kalem - al3465 [tablet kalemi] marka:microcase renk:siyah
TST_8452b32446691c | kışlık ev terliği | kışlık erkek bebe ev içi bot ayakkabı [panduf] marka:gezer erkek renk:siyah materyal:tekstil
TST_745246aca4f8bc | maru.derm cilt serumu | vinopure akne karşıtı salisilik serum 30 ml [cilt serumu] marka:caudalie
TST_e8957e3ea363f6 | gezer çizme | amira soğuk geçirmez kışlık kadın çizme [çizme] marka:daxtors kadın renk:siyah materyal:poliüretan
TST_0c11c6a90b7a3a | kilim mobilya köşe takımı | solo sol köşe koltuk [köşe takımı] marka:modacalite renk:ekru materyal:ahşap
TST_9c9d9a065b0f14 | kurna | rozalya bej fitilli yuvarlak kurna [lavabo] marka:starmarble renk:bej
TST_6ed96fb6b101f2 | ilk yardım kiti | ifak hnm essentıal 1 ilk yardım çantası 16 parça kit [ilk yardım seti] marka:hanımağa
TST_ffc7e2066bb8bb | broadway oto koltuk kılıfı | citroen c5 aracınıza uyumlu jetdrive deri koltuk kılııfı bej [oto koltuk kılıfı] marka:trobus renk:bej materyal:deri
TST_0ee8af5d9efb88 | kahve gincanı | mamma mia 6'lı desenli mini fincan seti 6 cm x 5 cm [kahve fincanı] marka:baci milano renk:çok renkli materyal:porselen
TST_827a1c3dda4b2c | hello kitty çanta | hello kitty figürlü pelüş kalem çantası ad2210 [kalem kutusu] marka:bundle island renk:beyaz materyal:tekstil
TST_b5fcbc2a8a8287 | çamaşır kurutma makinası dolabı | mdf çamaşır makinesi kurutma makinesi dolabı çekmeceli kapaklı 186 [çamaşır makinesi dolabı] marka:demirbal mobilya renk:beyaz materyal:mdf
TST_dbc9dc1102d1c5 | pazar tezgahı | çok amaçlı ahşaplı kampet takım - galvaniz kaplı piknik, pazar tezgahı [piknik seti] marka:rafburada renk:çok renkli materyal:metal
TST_e489f72a7bb183 | çelik moka pot | moka express ( 2 cup) [moka pot] marka:bialetti renk:gri materyal:alüminyum
TST_1ffeb229b7015a | çekirdek | crema e aroma çekirdek kahve 1000 gr [filtre ve çekirdek kahve] marka:lavazza
TST_ac6ef71ed03ad9 | çocuk valizi | kids mixed dondurma desenli çocuk valizi 16775 [valiz & bavul] marka:coral high erkek renk:sarı materyal:pvc-polyester
TST_187d727ff50c18 | siyah priz | ovivo seldur grano siyah topraklı priz 12 adet çerçeve [priz ve anahtar seti] marka:ovivo
TST_903edc7f9828c2 | blender mikser | mmb2111m blender [blender seti] marka:bosch renk:beyaz materyal:krom
TST_1ee28a217da18e | ağız spreyi | köpek pati temizleme köpek ağız kokusu köpek sağlık pati tüy bakım 300ml - ağız ve diş bak [köpek sağlık ürünü] marka:veturel
TST_18c8dd9b503df5 | led tavan aydınlatma | antrasit oval 120x16cm kumandalı,dimli 3 işık rengi, led tavan lambası, avize, modern aydı [avize] marka:catluz renk:siyah materyal:alüminyum
TST_e61dab9b4996cc | n spor ayakkabı | chuck taylor all star retro hike color unisex siyah sneaker [sneaker] marka:converse unisex renk:siyah materyal:tekstil
TST_05090b0043bd95 | bisiklet gidon | el nino 29 jant full süspansiyon alüminyum kadro enduro bisikleti 11s freeride bisiklet mo [bisiklet] marka:kron erkek renk:haki materyal:alüminyum
TST_1fb068b4cdb110 | yudum sıvı yağlar | çörek otu yağı saf %100 soğuk sıkım 250 ml çörekotu [sıvı yağ] marka:cemilefendi
TST_15a0ebd64085e9 | 5 metre led işık | mutfak dolabı tezgah üstü için 5 metre gün işığı şerit led işık 12v adaptörlü aç kapa anah [led işık] marka:bvs elektronik renk:sarı
TST_dba881f523d2ec | erkek çocuk atkı bere | metin oktay lisanslı şal atkı icardı ahşap kutu [atkı] marka:galatasaray unisex renk:sarı materyal:polyester
TST_17ece6344896fc | hamur oyunu | çocuk 26 cm ahşap hamur açma masası mini oklava ile oyun hamuru tahtası714536 [ahşap oyuncak] marka:kaktüskedi renk:kahverengi
TST_b073345fd81075 | motor brandası | tvs wego motor branda (bağlantı tokalı) miflonlu premium 4 mevsim koruma gri [motosiklet branda] marka:ak-sa-str
TST_7cef77c44275e3 | hakim yaka gömlek | slim fit uzun kollu hakim yaka pamuklu kolay ütü çizgili erkek lacivert gömlek [gömlek] marka:tudors erkek renk:lacivert materyal:pamuk polyester
TST_f65f80086d8c53 | içi yünlü mont | saline erkek  siyah mont & kaban [mont] marka:slazenger erkek renk:siyah materyal:polyester
TST_b23d0bd3093ac4 | vivaq omuz çantası | kadin kol çantasi c.sly_017 [omuz çantası] marka:sisley kadın renk:çok renkli materyal:suni deri
TST_879e40174c9934 | gelinlik | kız bebek tül dantel kabarık çiçek kemerli gelinlik doğum günü elbise [elbise] marka:renata's kadın renk:beyaz materyal:tül
TST_a7c552503ea96d | yelekli etek takım | keten etekli takım [tesettür alt - üst takım] marka:endamim kadın renk:kahverengi materyal:keten
TST_0ec1cd782e27fb | zeka oyunu | dikkat kutusu (3-6 yaş) pikto ile zekamı geliştiriyorum [aktivite & eğitici kitaplar] marka:yükselen zeka
TST_963594982c2da4 | rdr 2 | resident evil biohazard ps4 oyun [ps4 oyunu] marka:capcom
TST_8bca428b4e1b36 | 20 50 motor yağı | crb multi 20w-50 cf-4 motor yağı 16 kg [yağ & motor katkısı] marka:castrol
TST_02a343341a29e9 | kız okul çantası | lcw laptop bölmeli kız çocuk okul çantası (w5) [sırt çantası] marka:lc waikiki kadın renk:altın materyal:polyester
TST_1685f2791d3113 | çelik moka pot | moka express (6 cup) [moka pot] marka:bialetti renk:gri materyal:alüminyum
